segment,pace_category,gender,age_group,runner_count,avg_finishing_time
20K-25K,"Significant Drop",F,"- 25",299,04:32:21
20K-25K,"Significant Drop",F,25-34,1059,04:28:18
20K-25K,"Significant Drop",F,35-44,1183,04:25:56
20K-25K,"Significant Drop",F,45-54,1072,04:31:05
20K-25K,"Significant Drop",F,55-64,408,04:41:20
20K-25K,"Significant Drop",F,65-74,50,05:15:16
20K-25K,"Significant Drop",F,75+,1,05:58:58
20K-25K,"Significant Drop",M,"- 25",303,03:54:46
20K-25K,"Significant Drop",M,25-34,1269,04:00:48
20K-25K,"Significant Drop",M,35-44,1612,04:05:55
20K-25K,"Significant Drop",M,45-54,2147,04:13:30
20K-25K,"Significant Drop",M,55-64,1461,04:28:15
20K-25K,"Significant Drop",M,65-74,359,04:48:13
20K-25K,"Significant Drop",M,75+,29,05:13:29
20K-25K,"Steady Pace",F,"- 25",2012,04:02:03
20K-25K,"Steady Pace",F,25-34,8756,03:53:26
20K-25K,"Steady Pace",F,35-44,10092,03:55:54
20K-25K,"Steady Pace",F,45-54,8151,04:06:10
20K-25K,"Steady Pace",F,55-64,2487,04:23:43
20K-25K,"Steady Pace",F,65-74,322,04:47:14
20K-25K,"Steady Pace",F,75+,15,05:21:14
20K-25K,"Steady Pace",M,"- 25",1226,03:23:28
20K-25K,"Steady Pace",M,25-34,6407,03:22:22
20K-25K,"Steady Pace",M,35-44,9652,03:28:14
20K-25K,"Steady Pace",M,45-54,11321,03:39:30
20K-25K,"Steady Pace",M,55-64,6003,03:57:14
20K-25K,"Steady Pace",M,65-74,1254,04:25:02
20K-25K,"Steady Pace",M,75+,88,04:48:23
25K-30K,"Significant Drop",F,"- 25",235,04:19:17
25K-30K,"Significant Drop",F,25-34,940,04:18:02
25K-30K,"Significant Drop",F,35-44,925,04:19:00
25K-30K,"Significant Drop",F,45-54,723,04:27:11
25K-30K,"Significant Drop",F,55-64,232,04:45:21
25K-30K,"Significant Drop",F,65-74,24,05:06:53
25K-30K,"Significant Drop",F,75+,1,04:26:36
25K-30K,"Significant Drop",M,"- 25",318,03:43:22
25K-30K,"Significant Drop",M,25-34,1304,03:48:43
25K-30K,"Significant Drop",M,35-44,1749,03:53:27
25K-30K,"Significant Drop",M,45-54,2299,04:01:31
25K-30K,"Significant Drop",M,55-64,1221,04:18:24
25K-30K,"Significant Drop",M,65-74,241,04:45:57
25K-30K,"Significant Drop",M,75+,23,04:59:12
25K-30K,"Steady Pace",F,"- 25",2076,04:04:28
25K-30K,"Steady Pace",F,25-34,8875,03:54:59
25K-30K,"Steady Pace",F,35-44,10350,03:57:16
25K-30K,"Steady Pace",F,45-54,8500,04:07:31
25K-30K,"Steady Pace",F,55-64,2663,04:24:32
25K-30K,"Steady Pace",F,65-74,348,04:49:54
25K-30K,"Steady Pace",F,75+,15,05:27:24
25K-30K,"Steady Pace",M,"- 25",1211,03:26:05
25K-30K,"Steady Pace",M,25-34,6372,03:24:38
25K-30K,"Steady Pace",M,35-44,9515,03:29:59
25K-30K,"Steady Pace",M,45-54,11169,03:41:30
25K-30K,"Steady Pace",M,55-64,6243,04:00:21
25K-30K,"Steady Pace",M,65-74,1372,04:27:26
25K-30K,"Steady Pace",M,75+,94,04:53:29
30K-35K,"Significant Drop",F,"- 25",102,04:15:29
30K-35K,"Significant Drop",F,25-34,285,04:13:18
30K-35K,"Significant Drop",F,35-44,284,04:13:20
30K-35K,"Significant Drop",F,45-54,230,04:30:21
30K-35K,"Significant Drop",F,55-64,69,04:40:55
30K-35K,"Significant Drop",F,65-74,6,05:11:31
30K-35K,"Significant Drop",F,75+,1,04:46:09
30K-35K,"Significant Drop",M,"- 25",199,03:39:01
30K-35K,"Significant Drop",M,25-34,820,03:35:57
30K-35K,"Significant Drop",M,35-44,929,03:40:59
30K-35K,"Significant Drop",M,45-54,1011,03:55:34
30K-35K,"Significant Drop",M,55-64,496,04:13:02
30K-35K,"Significant Drop",M,65-74,82,04:40:58
30K-35K,"Significant Drop",M,75+,6,05:02:11
30K-35K,"Steady Pace",F,"- 25",2209,04:05:32
30K-35K,"Steady Pace",F,25-34,9530,03:56:43
30K-35K,"Steady Pace",F,35-44,10991,03:58:41
30K-35K,"Steady Pace",F,45-54,8993,04:08:31
30K-35K,"Steady Pace",F,55-64,2826,04:25:51
30K-35K,"Steady Pace",F,65-74,366,04:50:40
30K-35K,"Steady Pace",F,75+,15,05:26:06
30K-35K,"Steady Pace",M,"- 25",1330,03:28:17
30K-35K,"Steady Pace",M,25-34,6856,03:27:52
30K-35K,"Steady Pace",M,35-44,10335,03:32:58
30K-35K,"Steady Pace",M,45-54,12457,03:44:03
30K-35K,"Steady Pace",M,55-64,6968,04:02:37
30K-35K,"Steady Pace",M,65-74,1531,04:29:37
30K-35K,"Steady Pace",M,75+,111,04:54:12
