id,name,Status,5K_cum,10K_cum,15K_cum,20K_cum,25K_cum,30K_cum,35K_cum,40K_cum,split_5K_to_10K,split_10K_to_15K,split_15K_to_20K,split_20K_to_25K,split_25K_to_30K,split_30K_to_35K,split_35K_to_40K
26599,"Hayle, Lemi Berhanu",elite,947,1880,2827,3794,4755,5657,6624,7559,933,947,967,961,902,967,935
26600,"Desisa, Lelisa",elite,947,1881,2828,3794,4755,5657,6624,7559,934,947,966,961,902,967,935
26601,"Tsegay, Yemane Adhane",elite,946,1880,2827,3793,4755,5685,6648,7607,934,947,966,962,930,963,959
26602,"Korir, Wesley",elite,946,1881,2827,3794,4756,5685,6648,7607,935,946,967,962,929,963,959
26603,"Lonyangata, Paul",elite,946,1881,2828,3794,4758,5686,6690,7691,935,947,966,964,928,1004,1001
26604,"Kitwara, Sammy",elite,946,1881,2828,3794,4757,5703,6739,7747,935,947,966,963,946,1036,1008
26605,"Chebogut, Stephen",elite,947,1881,2827,3794,4766,5685,6649,7692,934,946,967,972,919,964,1043
26606,"Nageeye, Abdi",elite,947,1881,2828,3795,4756,5692,6684,7718,934,947,967,961,936,992,1034
26607,"Feleke, Getu",elite,946,1880,2827,3793,4757,5739,6832,7857,934,947,966,964,982,1093,1025
26608,"Hine, Zachary",elite,963,1928,2894,3865,4838,5846,6886,7967,965,966,971,973,1008,1040,1081
26609,"Nyasango, Cutbert",elite,947,1881,2828,3794,4757,5709,6790,7908,934,947,966,963,952,1081,1118
26610,"Mekonnen, Tsegaye",elite,946,1880,2827,3794,4755,5716,6879,8063,934,947,967,961,961,1163,1184
26611,"Burrell, Ian",elite,954,1907,2873,3884,4905,5964,7022,8079,953,966,1011,1021,1059,1058,1057
26612,"Kiprop, Jackson",elite,946,1880,2826,3793,4755,5708,6824,8073,934,946,967,962,953,1116,1249
26613,"Okuti, Harbert",elite,953,1920,2903,3911,4936,5985,7072,8182,967,983,1008,1025,1049,1087,1110
26614,"Da Silva, Solonei",elite,946,1880,2828,3794,4806,5864,7026,8189,934,948,966,1012,1058,1162,1163
26615,"Wells, Clint",elite,986,1972,2970,3989,5022,6078,7156,8211,986,998,1019,1033,1056,1078,1055
26616,"Kamijo, Norio",elite,947,1882,2828,3795,4778,5860,7027,8226,935,946,967,983,1082,1167,1199
26617,"Igarashi, Shingo",elite,1016,1900,2926,3962,5000,6092,7215,8299,884,1026,1036,1038,1092,1123,1084
26618,"Kipyego, Michael",elite,947,1881,2828,3794,4781,5845,7059,8271,934,947,966,987,1064,1214,1212
26619,"Williams, Andy",elite,981,1983,3017,4074,5123,6203,7305,8364,1002,1034,1057,1049,1080,1102,1059
26620,"Boudalia, Said Sr.",elite,981,1971,2970,4010,5063,6156,7270,8373,990,999,1040,1053,1093,1114,1103
26621,"Carpenter, Joseph K",elite,1024,2052,3079,4120,5159,6222,7311,8396,1028,1027,1041,1039,1063,1089,1085
26622,"Eustance, Tyler J.",elite,1006,2019,3056,4098,5134,6217,7320,8399,1013,1037,1042,1036,1083,1103,1079
26623,"Sanabria, Alvaro",elite,951,1918,2900,3907,4901,5967,7153,8354,967,982,1007,994,1066,1186,1201
26624,"Maravilla, Jorge",elite,1032,2059,3086,4128,5166,6229,7324,8427,1027,1027,1042,1038,1063,1095,1103
26625,"Ikeda, Mahoro",elite,1007,1920,2904,3921,4958,6042,7216,8402,913,984,1017,1037,1084,1174,1186
26626,"Villescas, Dylan M",elite,1045,2079,3111,4145,5170,6261,7386,8467,1034,1032,1034,1025,1091,1125,1081
26627,"Baysa, Atsede",elite,1102,2181,3239,4304,5357,6418,7506,8509,1079,1058,1065,1053,1061,1088,1003
26628,"Ornelas, Zachary",elite,1002,1998,3017,4057,5102,6187,7298,8435,996,1019,1040,1045,1085,1111,1137
26629,"Bromka, Peter M",elite,1036,2080,3141,4205,5256,6322,7408,8480,1044,1061,1064,1051,1066,1086,1072
26630,"Coon, Craig R.",elite,1056,2085,3126,4171,5208,6283,7393,8486,1029,1041,1045,1037,1075,1110,1093
26631,"Tsegaye, Tirfi",elite,1102,2181,3240,4305,5353,6392,7469,8516,1079,1059,1065,1048,1039,1077,1047
26632,"Wolfe, Brandon T.",elite,1043,2094,3138,4187,5251,6345,7454,8543,1051,1044,1049,1064,1094,1109,1089
26633,"Bond, Robert J.",elite,1032,2080,3139,4201,5259,6327,7431,8525,1048,1059,1062,1058,1068,1104,1094
26634,"Chepkirui, Joyce",elite,1102,2181,3240,4305,5353,6393,7469,8539,1079,1059,1065,1048,1040,1076,1070
26635,"Fiz, Martin",elite,1021,2060,3088,4167,5242,6353,7479,8564,1039,1028,1079,1075,1111,1126,1085
26636,"Reaves, Patrick",elite,1032,2095,3137,4200,5252,6320,7424,8544,1063,1042,1063,1052,1068,1104,1120
26637,"Ash, Alan",elite,1091,2166,3249,4332,5406,6491,7576,8617,1075,1083,1083,1074,1085,1085,1041
26638,"Mckay, David R.",elite,1047,2094,3146,4208,5272,6375,7497,8601,1047,1052,1062,1064,1103,1122,1104
26639,"Wardian, Michael",elite,1006,2024,3069,4123,5179,6288,7433,8573,1018,1045,1054,1056,1109,1145,1140
26640,"Wakimoto, Yuji",elite,1032,2081,3140,4202,5275,6396,7530,8630,1049,1059,1062,1073,1121,1134,1100
26641,"Joyce, Jonathan",elite,1025,2053,3081,4143,5238,6367,7500,8620,1028,1028,1062,1095,1129,1133,1120
26642,"Prokopcuka, Jelena",elite,1102,2182,3249,4329,5399,6481,7592,8675,1080,1067,1080,1070,1082,1111,1083
26643,"Leuchanka, Aliaksandr",elite,989,2003,3041,4090,5150,6293,7473,8643,1014,1038,1049,1060,1143,1180,1170
26644,"Ayr, Jason M.",elite,1063,2127,3187,4245,5301,6387,7493,8637,1064,1060,1058,1056,1086,1106,1144
26645,"Guillen, Ramiro C.",elite,999,2001,3017,4076,5160,6289,7444,8634,1002,1016,1059,1084,1129,1155,1190
26647,"Kipketer, Valentine",elite,1102,2181,3239,4304,5352,6393,7470,8637,1079,1058,1065,1048,1041,1077,1167
26648,"Vangampleare, Stephen",elite,1063,2133,3196,4270,5348,6451,7566,8727,1070,1063,1074,1078,1103,1115,1161
26649,"Mauro, Alex A.",elite,1035,2073,3133,4199,5265,6358,7498,8675,1038,1060,1066,1066,1093,1140,1177
26650,"Turner, Wesley C",elite,1025,2048,3080,4123,5183,6297,7470,8655,1023,1032,1043,1060,1114,1173,1185
26651,"Daniel, Flomena Cheyech",elite,1102,2181,3240,4305,5353,6394,7519,8689,1079,1059,1065,1048,1041,1125,1170
26652,"Arnald, Scott",elite,1078,2158,3245,4334,5420,6542,7667,8757,1080,1087,1089,1086,1122,1125,1090
26653,"O'Leary, Brendon P.",elite,1028,2064,3131,4221,5307,6448,7598,8730,1036,1067,1090,1086,1141,1150,1132
26654,"Deba, Buzunesh",elite,1102,2180,3240,4304,5368,6450,7623,8730,1078,1060,1064,1064,1082,1173,1107
26656,"Jackson, Jonathan",elite,1016,2027,3066,4120,5183,6304,7485,8695,1011,1039,1054,1063,1121,1181,1210
26657,"Larson, Kyle",elite,1028,2066,3122,4189,5283,6413,7572,8741,1038,1056,1067,1094,1130,1159,1169
26658,"Fellows, Donovan",elite,1079,2175,3269,4365,5446,6550,7670,8774,1096,1094,1096,1081,1104,1120,1104
26659,"Madrid, Javier",elite,977,1986,2995,4020,5036,6117,7268,8628,1009,1009,1025,1016,1081,1151,1360
26660,"Klecker, Jack",elite,1084,2169,3253,4346,5433,6541,7663,8757,1085,1084,1093,1087,1108,1122,1094
26661,"Mercier, Christian",elite,999,2025,3082,4181,5283,6452,7640,8765,1026,1057,1099,1102,1169,1188,1125
26662,"Kowalski, Justin",elite,1107,2217,3311,4404,5485,6572,7694,8789,1110,1094,1093,1081,1087,1122,1095
26663,"Tola, Fate",elite,1102,2181,3240,4305,5360,6460,7610,8749,1079,1059,1065,1055,1100,1150,1139
26664,"Brigham, John M.",elite,1028,2067,3121,4194,5249,6382,7569,8784,1039,1054,1073,1055,1133,1187,1215
26665,"Briskman, Jonathan",elite,1035,2073,3134,4200,5266,6388,7570,8761,1038,1061,1066,1066,1122,1182,1191
26666,"Bedoya, David",elite,1013,2033,3075,4129,5270,6478,7653,8796,1020,1042,1054,1141,1208,1175,1143
26667,"Spence Gracey, Neely",elite,1102,2181,3264,4379,5495,6630,7764,8835,1079,1083,1115,1116,1135,1134,1071
26668,"Kaiser, Ryan",elite,1104,2195,3291,4392,5487,6587,7712,8819,1091,1096,1101,1095,1100,1125,1107
26669,"Valenzona, Damon",elite,1058,2117,3180,4266,5373,6513,7661,8806,1059,1063,1086,1107,1140,1148,1145
26670,"Goodfellow, Kenny M.",elite,1058,2115,3179,4229,5293,6393,7575,8792,1057,1064,1050,1064,1100,1182,1217
26671,"Van Veen, Jeremy",elite,1028,2050,3078,4160,5265,6428,7624,8805,1022,1028,1082,1105,1163,1196,1181
